spec_name,n_obs,n_firms,within_r2,beta1_PRiskFY,se1,t1,p1,beta2_StyleFrozen,se2,t2,p2,beta3_Interact,se3,t3,p3,h8_sig
Primary (All Industries),15721,1665,0.024889287656362447,-8.056637425727743e-06,6.455693944440931e-06,-1.247989371098579,0.21205577258842778,-0.007732879388924164,0.003940940290096582,-1.9621914618591323,0.04975993014716584,1.7134830185360742e-06,6.020670167515734e-06,0.2846000479782297,0.7759547739790533,False
Main Sample (ex-Finance/Utility),12627,1331,0.021188005775336305,-1.2520584533714221e-05,8.919039191725974e-06,-1.4038041839001374,0.16040471429314818,-0.010296285769288413,0.004733611279249121,-2.175143914842472,0.02964004622454053,5.902121593620483e-06,8.94389703909176e-06,0.6599049125703972,0.509328333299802,False
