Sample,Variable,Col,N,Mean,SD,Min,P25,Median,P75,Max
All,|Abnormal Investment|$_{t+1}$,AbsAbInv_lead,"25,759",0.0861,0.1158,0.0000,0.0239,0.0531,0.1080,1.4854
All,Political Risk,PRiskFY,"27,501",119.8488,143.6371,0.0000,42.1273,79.8837,145.9354,3762.6727
All,Clarity Style (Realtime),ClarityStyle_Realtime,"18,842",-0.0096,1.0026,-2.9779,-0.7054,-0.1138,0.5555,8.5755
All,PRiskFY $\times$ Clarity Style,interact,"18,340",21.7305,220.2616,-3937.8957,-42.2486,-4.3945,42.4631,5891.6924
All,Firm Size (log AT),Size,"29,325",7.7214,1.7444,-0.5692,6.4978,7.6489,8.8777,12.4592
All,Leverage,Lev,"29,325",0.2446,0.2276,0.0000,0.0577,0.2135,0.3681,3.9453
All,ROA,ROA,"29,090",0.0336,0.1276,-3.9826,0.0099,0.0407,0.0823,0.5490
All,Tobin's Q,TobinsQ,"29,053",1.6421,1.4950,0.0775,0.8392,1.2316,1.9289,26.1653
