spec_name,n_obs,n_firms,n_clusters,cluster_var,within_r2,beta1_PRiskFY,se1,t1,p1,beta2_ClarityStyle_Realtime,se2,t2,p2,beta3_Interact,se3,t3,p3,h8_sig
Primary (All Industries),15998,1943,1943,gvkey,0.024959378550186928,-9.303820459082466e-06,7.219616308705925e-06,-1.2886862765633764,0.19752842142781368,-0.00032952456076840766,0.001320447279154203,-0.2495552575029582,0.8029349561317887,-7.669546613531614e-08,4.495717482709505e-06,-0.01705967210579542,0.9863892537680821,False
Main Sample (ex-Finance/Utility),12901,1539,1539,gvkey,0.023486712499158346,-1.6682353838688297e-05,1.0191865350887151e-05,-1.6368302822246548,0.10169368731870732,0.00045491752653490156,0.001696329983663632,0.2681774954849279,0.7885675750173977,-7.268386906060177e-06,8.24045501882099e-06,-0.8820370828381887,0.3777754512577651,False
