"title","authors","year","venue","cited_by","is_oa","oa_url","doi","abstract","query","id","type"
"ESG Ratings and Stock Performance during the COVID-19 Crisis","Nils Engelhardt; Jens Ekkenga; Peter N. Posch","2021","Sustainability","197","True","https://www.mdpi.com/2071-1050/13/13/7133/pdf?version=1624851033","https://doi.org/10.3390/su13137133","We investigate the association between Environmental, Social, and Governance (ESG) ratings and stock performance during the COVID-19 crisis. Although there is mixed evidence in the literature whether ESG is valuable in times of crisis, we find high ESG-rated European firms to be associated with higher abnormal returns and lower stock volatility. After decomposing ESG into its separate components, we find the social score to be the predominant driver of our results. Further, we argue that ESG is value-enhancing in low-trust countries, and in countries with poorer security regulations and where lower disclosure standards prevail.","Hassan Hollander ""cash holdings""","https://openalex.org/W3173908785","article"
"Can Corporate Income Tax Cuts Stimulate Innovation?","Julian Atanassov; Xiaoding Liu","2019","Journal of Financial and Quantitative Analysis","181","True","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/158008954E218B436A4391EDAD69DC9F/S0022109019000152a.pdf/div-class-title-can-corporate-income-tax-cuts-stimulate-innovation-div.pdf","https://doi.org/10.1017/s0022109019000152","We hypothesize that corporate income taxes distort firms’ incentives to innovate by reducing their pledgeable income. Using a differences-in-differences methodology, we document that large corporate income tax cuts boost corporate innovation. We find a similar but opposite effect for tax increases. Most of the change in innovation occurs 2 or more years after the tax change, and there’s no effect before the tax change. Exploring the mechanisms, we show that tax cuts have a stronger impact on innovation for firms with weaker governance, greater financial constraints, fewer tangible assets, smaller patent stock, and a greater degree of tax avoidance.","trump 2016 ""cash holdings"" DiD","https://openalex.org/W3124631624","article"
"Firm‐Level Climate Change Risk and CEO Equity Incentives","Ashrafee T Hossain; Abdullah Al Masum; Samir Saadi; Ramzi Benkraiem; Nirmol Chandra Das","2022","British Journal of Management","178","True","https://hal.science/hal-04434397/document","https://doi.org/10.1111/1467-8551.12652","Abstract We document evidence that CEOs who lead firms that face higher climate change risk (CCR) receive higher equity‐based compensation. Our finding is consistent with the compensating wedge differential theory and survives numerous robustness and endogeneity tests. The result is more prominent for firms that are socially responsible, susceptible to higher environmental litigation and part of the non‐high‐tech industries. Furthermore, we find supportive evidence that firms offering higher equity incentives to their CEOs for managing higher CCR are usually better off in the long run via a lower cost of equity capital and higher firm valuation.","""firm-level political risk"" ""cash holdings""","https://openalex.org/W4294292687","article"
"Determinants of firm’s value: Evidence from financial industry","Endri Endri; Moch Fathony","2019","Management Science Letters","125","True","https://doi.org/10.5267/j.msl.2019.8.011","https://doi.org/10.5267/j.msl.2019.8.011","The purpose of this study was to estimate and analyze the effect of dividend policy, profitability, firm size, leverage, and growth on firm value in financial sector listed on Indonesia Stock Exchange from 2013 to 2017. A quantitative method is used for this research with 21 companies as research object, measured by purposive sampling techniques. The data analysis method used is panel data regression. The results show that firm size, leverage, and growth did not have any significant effect on firm value in financial sector companies in the period 2013-2017. However, dividend policy and profitability proved to have significant positive effects on firm value in financial sector companies for the period 2013-2017. Simultaneous results also show that dividend policy, profitability, firm size, leverage and growth had some effects on firm value.","""trade war"" 2018 ""cash holdings"" firm DiD","https://openalex.org/W2968837705","article"
"Populism, political risk, and pandemics: The challenges of political leadership for business in a post-COVID world","Christopher A. Hartwell; Timothy M. Devinney","2021","Journal of World Business","123","True","https://doi.org/10.1016/j.jwb.2021.101225","https://doi.org/10.1016/j.jwb.2021.101225","The examination of political risk, political uncertainty, and political institutions in the international business literature has, not unexpectedly, been shaped by the prevailing issues faced by firms at their time of writing. While these three separate angles together have provided an iteratively more comprehensive view of the politics and business nexus, they are still missing an important component, namely the ability of specific actors to utilize political uncertainty and generate institutional volatility. This paper examines the rise of two specific phenomena that challenge prevailing theoretical frameworks, and potentially have the ability to render our previous insights less relevant: first, the rise of populism as a persistent political force in developed economies, and second, the rapid spread and disparate political response to COVID-19. We argue that exclusively institutional-based frameworks are inadequate to cope with the political realities of the 21st century, as institutions themselves are being subverted or utilized for actions far beyond their original conception in practice and their operationalization in the IB literature (something that COVID-19 has exacerbated). Although extant IB work has much to recommend itself in helping to understand risk and uncertainty in the political sphere, these new challenges for business reveal that we need to incorporate political personalities, actors, and leaders(hip) into our research. Only then can we have a more complete picture of how politics can influence business.","trump 2016 election ""cash holdings"" difference-in-differences","https://openalex.org/W3152803478","article"
"Stock Prices and the Russia-Ukraine War: Sanctions, Energy and ESG","Ming Deng; Markus Leippold; Alexander F. Wagner; Qian Wang","2022","SSRN Electronic Journal","123","True","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4080181","https://doi.org/10.2139/ssrn.4080181","","trump 2016 election ""cash holdings"" difference-in-differences","https://openalex.org/W4225685912","article"
"The effect of the policy mix of green credit and government subsidy on environmental innovation","Yechi Ma; Yezhou Sha; Zilong Wang; Wenjing Zhang","2023","Energy Economics","110","True","https://www.repository.cam.ac.uk/bitstreams/53928a2f-5f7b-4346-a4fc-c1f5a95de83a/download","https://doi.org/10.1016/j.eneco.2023.106512","","""trade policy uncertainty"" ""cash holdings"" DiD","https://openalex.org/W4314446173","article"
"How Did Depositors Respond to COVID-19?","Ross Levine; Chen Lin; Mingzhu Tai; Wensi Xie","2021","Review of Financial Studies","108","True","https://academic.oup.com/rfs/article-pdf/34/11/5438/40724138/hhab062.pdf","https://doi.org/10.1093/rfs/hhab062","Abstract Why did banks experience massive deposit inflows during the pandemic? We discover that deposit interest rates at bank branches in counties with higher COVID-19 infection rates fell by more than rates at branches—even branches of the same bank—in counties with lower infection rates. Credit drawdowns, national policies, such as the Payment Protection Program, and a flight-to-safety do not account for these cross-branch changes in deposit rates. Evidence suggests that higher local COVID-19 infection rates are associated with households’ greater anxiety about future job and income losses, anxiety that induces households to reduce spending and increase deposits.","trump 2016 ""cash holdings"" DiD","https://openalex.org/W4206686905","article"
"COVID-19 and the Cross-Section of Equity Returns: Impact and Transmission","Lorenzo Bretscher; Alex Hsu; Peter Simasek; Andrea Tamoni","2020","The Review of Asset Pricing Studies","103","True","https://academic.oup.com/raps/article-pdf/10/4/705/34416900/raaa017.pdf","https://doi.org/10.1093/rapstu/raaa017","Abstract Using the first reported case of COVID-19 in a given U.S. county as the event day, we find that firms headquartered in an affected county experience, on average, a 27-bps lower return in the 10-day post-event window. This negative effect nearly doubles in magnitude for firms in counties with a higher infection rate (−50 bps). We test a number of transmission channels. Firms belonging to labor-intensive industries and those located in counties with a large mobility decline have worse stock performance. Firms sensitive to COVID-19-induced uncertainty also exhibit more negative returns. Finally, more negative stock returns are associated with downward revisions in earnings forecasts.","trump 2016 ""cash holdings"" DiD","https://openalex.org/W3040715873","article"
"Political uncertainty exposure of individual companies: The case of the Brexit referendum","Paula Hill; Adriana Korczak; Piotr Korczak","2018","Journal of Banking & Finance","99","True","https://research-information.bris.ac.uk/ws/files/180199491/HKK_brexit1_20181220.pdf","https://doi.org/10.1016/j.jbankfin.2018.12.012","","trump 2016 election ""cash holdings"" difference-in-differences","https://openalex.org/W2587561580","article"
