"title","authors","year","venue","cited_by","is_oa","oa_url","doi","abstract","source","id","type"
"The Effect of Financing Constraints on Risk","Huidan Lin; Daniel Paravisini","2012","European Finance Review","89","False","","https://doi.org/10.1093/rof/rfr038","Abstract We provide evidence on the causal link between financing constraints and the risk of corporate cash flows and returns. For identification, we compare public US firms in the same industry, location, and size quintile, but whose access to bank credit was differentially affected by WorldCom’s demise in 2002. A credit shortage induces a permanent increase in the volatility and skewness of operating cash flows and an increase in the correlation between firm stock and market returns. We document how firms’ cash, payout, and investment policies respond endogenously to mitigate the impact of constraints on risk.","cites: ACW2004_JF","https://openalex.org/W2155036030","article"
"Cash-rich firms and carbon emissions","Md. Samsul Alam; Md Safiullah; Md. Shahidul Islam","2022","International Review of Financial Analysis","88","True","https://doi.org/10.1016/j.irfa.2022.102106","https://doi.org/10.1016/j.irfa.2022.102106","We investigate whether corporate cash holdings affect carbon dioxide emissions. Using a sample of 5402 firm-years observations from 943 U.S. firms during 2007–2017, we find that carbon emissions are lower in firms with higher corporate cash holdings. The effect of cash holdings on carbon emissions is more pronounced in firms with low leverage and less financial constraints. Our channel analysis further unveils that renewable energy consumption and carbon abatement investment are higher in cash-rich firms, which transmit lower carbon emissions. Our findings are robust to different identification strategies and alternative measures of cash holdings and carbon emissions. Overall, our paper provides novel evidence on the role of corporate cash holdings in mitigating carbon emissions.","cites: ACW2004_JF","https://openalex.org/W4220671073","article"
"Efficient working capital management, financial constraints and firm value: A text-based analysis","Sandip Dhole; Sagarika Mishra; Ananda Mohan Pal","2019","Pacific-Basin Finance Journal","87","True","https://figshare.com/articles/journal_contribution/Efficient_working_capital_management_financial_constraints_and_firm_value_a_text-based_analysis/20730721","https://doi.org/10.1016/j.pacfin.2019.101212","","cites: ACW2004_JF","https://openalex.org/W2981768673","article"
"Got Rejected? Real Effects of<i>Not</i>Getting a Loan","Tobias Berg","2018","Review of Financial Studies","87","False","","https://doi.org/10.1093/rfs/hhy038","Using a lender cutoff rule that generates plausibly exogenous variation in credit supply, I investigate a new channel through which funding shocks are transmitted to the real economy. Based on a sample of more than 15,000 loan applications from small- and medium-sized enterprises, I find that precautionary savings motives can aggravate real effects: low-liquidity firms whose loan applications were rejected increase cash holdings and cut noncash assets in excess of the requested loan amount. These results point to the amplifying effect of precautionary savings motives in the transmission of credit supply shocks. Received December 11, 2016; editorial decision February 22, 2018 by Editor Philip Strahan.","cites: ACW2004_JF","https://openalex.org/W3123486291","article"
"Multinationals and the High Cash Holdings Puzzle","Lee Pinkowitz; René M. Stulz; Rohan Williamson","2012","National Bureau of Economic Research","87","True","https://doi.org/10.3386/w18120","https://doi.org/10.3386/w18120","Defining as normal cash holdings the holdings a firm with the same characteristics would have had in the late 1990s, we find that the abnormal cash holdings of U.S. firms after the crisis represent on average 1.86% of assets. While U.S. firms held less cash than comparable foreign firms in the late 1990s, by 2010 they hold more. However, only U.S. multinational firms experience an increase in abnormal cash holdings during the 2000s. U.S. multinational firms had cash holdings similar to those of purely domestic firms in the late 1990s, but they hold over 3% more assets in cash than comparable purely domestic firms after the crisis. Further, U.S. multinationals increased their cash holdings since the late 1990s relative to foreign multinationals by roughly the same percentage as they increased their cash holdings relative to U.S. domestic firms. A detailed analysis shows that the increase in cash holdings of multinational firms cannot be explained by the tax treatment of profit repatriations, that it is intrinsically linked to their R&D intensity, and that firms that become multinational do not increase their abnormal cash holdings after they become multinational. There is no evidence that poor investment opportunities, regulation, or poor governance can explain the abnormal cash holdings of U.S. firms after the crisis.","cites: ACW2004_JF","https://openalex.org/W2129241282","report"
"Social capital and corporate cash holdings","Ahsan Habib; Mostafa Monzur Hasan","2017","International Review of Economics & Finance","86","False","","https://doi.org/10.1016/j.iref.2017.09.005","","cites: ACW2004_JF","https://openalex.org/W2307641248","article"
"Economic resources and corporate social responsibility","Xian Sun; Brian Gunia","2018","Journal of Corporate Finance","86","False","","https://doi.org/10.1016/j.jcorpfin.2018.06.009","","cites: ACW2004_JF","https://openalex.org/W2811101446","article"
"Chinese multinationals’ fast internationalization: Financial performance advantage in one region, disadvantage in another","Heechun Kim; Jie Wu; Douglas A. Schuler; Robert E. Hoskisson","2019","Journal of International Business Studies","86","False","","https://doi.org/10.1057/s41267-019-00279-9","","cites: ACW2004_JF","https://openalex.org/W2982886370","article"
"Impact of Directors’ Network on Corporate Social Responsibility Disclosure: Evidence from China","Wenqin Li; John Ziyang Zhang; Rong Ding","2022","Journal of Business Ethics","86","False","","https://doi.org/10.1007/s10551-022-05092-3","","cites: ACW2004_JF","https://openalex.org/W4220703247","article"
"Multinationals and cash holdings","Nuno Fernandes; Halit Gönenç","2016","Journal of Corporate Finance","85","True","https://www.sciencedirect.com/science/article/pii/S0929119916300694","https://doi.org/10.1016/j.jcorpfin.2016.06.003","","cites: ACW2004_JF","https://openalex.org/W2472119122","article"
"Q-theory, mispricing, and profitability premium: Evidence from China","Fuwei Jiang; Xinlin Qi; Guohao Tang","2017","Journal of Banking & Finance","85","False","","https://doi.org/10.1016/j.jbankfin.2017.10.001","","cites: ACW2004_JF","https://openalex.org/W3122993355","article"
"Maturity mismatches of Chinese listed firms","Yizhong Wang; Ting Wang; Lifang Chen","2021","Pacific-Basin Finance Journal","85","False","","https://doi.org/10.1016/j.pacfin.2021.101680","","cites: ACW2004_JF","https://openalex.org/W3213674475","article"
"Digitalization, financial inclusion, and small and medium-sized enterprise financing: Evidence from China","Xiaoyan Zhang; Jinbao Li; Dong Xiang; Andrew C. Worthington","2023","Economic Modelling","85","True","http://hdl.handle.net/10072/427709","https://doi.org/10.1016/j.econmod.2023.106410","","cites: ACW2004_JF","https://openalex.org/W4382561713","article"
"State and foreign ownership and the value of working capital management","Hamdi Ben‐Nasr","2016","Journal of Corporate Finance","85","False","","https://doi.org/10.1016/j.jcorpfin.2016.09.002","","cites: ACW2004_JF","https://openalex.org/W2520698128","article"
"Does Macro-Pru Leak? Evidence from a UK Policy Experiment","Shekhar Aiyar; Charles W. Calomiris; Tomasz Wieladek","2012","National Bureau of Economic Research","85","True","https://doi.org/10.3386/w17822","https://doi.org/10.3386/w17822","The regulation of bank capital as a means of smoothing the credit cycle is a central element of forthcoming macro-prudential regimes internationally. For such regulation to be effective in controlling the aggregate supply of credit it must be the case that: (i) changes in capital requirements affect loan supply by regulated banks, and (ii) unregulated substitute sources of credit are unable to offset changes in credit supply by affected banks. This paper examines micro evidence-lacking to date-on both questions, using a unique dataset. In the UK, regulators have imposed time-varying, bank-specific minimum capital requirements since Basel I. It is found that regulated banks (UK-owned banks and resident foreign subsidiaries) reduce lending in response to tighter capital requirements. But unregulated banks (resident foreign branches) increase lending in response to tighter capital requirements on a relevant reference group of regulated banks. This ""leakage"" is substantial, amounting to about one-third of the initial impulse from the regulatory change.","cites: ACW2004_JF","https://openalex.org/W2119843269","report"
"Cash holdings in SMEs: speed of adjustment, growth and financing","Cristina Martínez‐Sola; Pedro J. García‐Teruel; Pedro Martínez Solano","2018","Small Business Economics","84","False","","https://doi.org/10.1007/s11187-018-9990-y","","cites: ACW2004_JF","https://openalex.org/W2786696228","article"
"How does bank ownership affect firm investment? Evidence from China","Hongjian Wang; Tianpei Luo; Gary Gang Tian; Huanmin Yan","2020","Journal of Banking & Finance","84","False","","https://doi.org/10.1016/j.jbankfin.2020.105741","","cites: ACW2004_JF","https://openalex.org/W2999614364","article"
"Real Effects of Tax Uncertainty: Evidence from Firm Capital Investments","Martin Jacob; Kelly Wentland; Scott Wentland","2021","Management Science","84","False","","https://doi.org/10.1287/mnsc.2021.4072","This paper examines whether tax uncertainty can alter investment decisions, focusing primarily on the timing of large capital investments. Empirically, we exploit the staggered implementation of Schedule UTP, a discrete policy change expected to increase tax uncertainty, finding that, on average, firms responded by delaying large capital investments. This effect is stronger among firms at which the policy treatment is particularly germane, that is, for firms with more material UTBs or with low-to-moderate quality public accounting information. We also test the underlying mechanism, finding that managers buffer against higher tax uncertainty with cheaper sources of financing (cash) and that the investment effect is concentrated among financially constrained firms. The results show that Schedule UTP also reduces the sensitivity of investment to growth opportunities (investment-Q sensitivity) in line with a higher hurdle rate for firms facing higher tax uncertainty. This paper was accepted by Brian Bushee, accounting.","cites: ACW2004_JF","https://openalex.org/W3200364680","article"
"Investment Decisions of Nonprofit Firms: Evidence from Hospitals","Manuel Adelino; Katharina Lewellen; Anant K. Sundaram","2014","The Journal of Finance","83","True","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jofi.12234","https://doi.org/10.1111/jofi.12234","ABSTRACT This paper examines investment choices of nonprofit hospitals. It tests how shocks to cash flows caused by the performance of the hospitals’ financial assets affect hospital expenditures. Capital expenditures increase, on average, by 10 to 28 cents for every dollar received from financial assets. The sensitivity is similar to that found earlier for shareholder‐owned corporations. Executive compensation, other salaries, and perks do not respond significantly to cash flow shocks. Hospitals with an apparent tendency to overspend on medical procedures do not exhibit higher investment‐cash flow sensitivities. The sensitivities are higher for hospitals that appear financially constrained.","cites: ACW2004_JF","https://openalex.org/W2120454825","article"
"Financial statement comparability and corporate cash holdings","Ahsan Habib; Mostafa Monzur Hasan; Ahmed Al‐Hadi","2017","Journal of Contemporary Accounting & Economics","83","False","","https://doi.org/10.1016/j.jcae.2017.10.001","","cites: ACW2004_JF","https://openalex.org/W2558870718","article"
"Internal Information Quality and the Sensitivity of Investment to Market Prices and Accounting Profits","Shane Heitzman; Mengjie Huang","2018","Contemporary Accounting Research","83","False","","https://doi.org/10.1111/1911-3846.12468","ABSTRACT We ask whether the quality of internal information matters for investment decisions. We predict that investment is more sensitive to internal profit signals and less sensitive to external price signals when managers have higher‐quality internal information. Consistent with recent theoretical and empirical research, we proxy for internal information quality using observable information properties. We find that the sensitivity of investment to profitability is increasing, while the sensitivity of investment to market‐to‐book is decreasing in internal information quality. Our focus on internal information and decision making offers new and unique insights on the importance of information quality and complements the growing literature on the role of external reporting quality in reducing financing frictions.","cites: ACW2004_JF","https://openalex.org/W3124805657","article"
"Corporate Cash Holdings and Financial Crisis: An Empirical Study of Chinese Companies","Yujun Lian; Mohammad Mehdi Sepehri; Maggie Foley","2011","Eurasian Economic Review","83","False","","https://doi.org/10.14208/bf03353801","","cites: ACW2004_JF","https://openalex.org/W1588985999","article"
"The impact of the financial system’s structure on firms’ financial constraints","Christopher F. Baum; Dorothea Schäfer; Oleksandr Talavera","2011","Journal of International Money and Finance","83","False","","https://doi.org/10.1016/j.jimonfin.2011.02.004","","cites: ACW2004_JF","https://openalex.org/W2018820744","article"
"Economic policy uncertainty and firm tax avoidance","My Nguyеn; Justin Hung Nguyen","2019","Accounting and Finance","82","False","","https://doi.org/10.1111/acfi.12538","Abstract We find strong evidence that firms reduce cash effective tax rate when economic policy uncertainty heightens. Firms also engage in more aggressive forms of tax avoidance including long‐term tax planning or shelters. Cash holdings attenuate the negative effect of policy uncertainty on cash effective tax rate, especially for financially constrained firms. The cash tax savings are retained for reinvestments rather than dividend payouts. Our findings suggest that policy uncertainty exacerbates external financing frictions, which in turn induces precautionary motives of tax avoidance.","cites: ACW2004_JF","https://openalex.org/W2877008862","article"
