suite_id,iv,tail_dir,model_family,contemp_total,contemp_p10,contemp_p05,contemp_p01,lead_total,lead_p10,lead_p05,lead_p01,beta_min,beta_max,beta_abs_max,se_med,n_min,n_max,dir
H25,GPR_log,positive,PanelOLS,12,1,0,0,0,0,0,0,-0.011929133852221847,0.014657636178063368,0.014657636178063368,0.009986881363419443,59676,75142,h25_gpr
H4a,UncAnsCEO,negative,PanelOLS,6,0,0,0,6,0,0,0,-0.00028061243452836003,0.005626992364479034,0.005626992364479034,0.002554067292735346,59447,65132,h4_leverage
H4a,UncPreCEO,negative,PanelOLS,6,0,0,0,6,0,0,0,-0.001508184858394971,0.004502818137803507,0.004502818137803507,0.0026697626696555376,59447,65132,h4_leverage
H4a,UncAnsMgr,negative,PanelOLS,6,0,0,0,6,6,4,0,-0.007399504941014386,0.0003641217128346129,0.007399504941014386,0.0033072683287757093,59447,65132,h4_leverage
H4a,UncPreMgr,negative,PanelOLS,6,0,0,0,6,0,0,0,-0.0001482861582540507,0.002126125775685721,0.002126125775685721,0.0039507783689910845,59447,65132,h4_leverage
H4b,UncAnsCEO,negative,PanelOLS,6,0,0,0,6,0,0,0,-0.0004977422239244108,0.005059700325080494,0.005059700325080494,0.004120710938716136,59190,64895,h4_leverage
H4b,UncPreCEO,negative,PanelOLS,6,0,0,0,6,0,0,0,-0.0018267325371481484,0.005881828665409143,0.005881828665409143,0.0041561968377394135,59190,64895,h4_leverage
H4b,UncAnsMgr,negative,PanelOLS,6,0,0,0,6,5,1,1,-0.015424447013949698,0.0014852165585372598,0.015424447013949698,0.0054558117069049335,59190,64895,h4_leverage
H4b,UncPreMgr,negative,PanelOLS,6,0,0,0,6,0,0,0,-0.007784792279012083,0.002185106933455765,0.007784792279012083,0.006268965294651969,59190,64895,h4_leverage
H4a.r,UncAnsCEO,negative,PanelOLS,6,0,0,0,6,0,0,0,-0.0009771229256819649,0.0023863129124667573,0.0023863129124667573,0.0018260042278079468,55816,61124,h4_leverage_robustness
H4a.r,UncAnsNoCEO,negative,PanelOLS,6,0,0,0,6,1,0,0,-0.0018164408782880039,0.0004197339751783193,0.0018164408782880039,0.000993888203573149,55816,61124,h4_leverage_robustness
H4a.r,UncPreCEO,negative,PanelOLS,6,0,0,0,6,0,0,0,-0.0010542728899664683,0.005193400747307314,0.005193400747307314,0.002189263723956242,55816,61124,h4_leverage_robustness
H4a.r,UncPreNoCEO,negative,PanelOLS,6,0,0,0,6,0,0,0,-0.0006619173772878046,0.000713876600105737,0.000713876600105737,0.0019187477127967543,55816,61124,h4_leverage_robustness
H4b.r,UncAnsCEO,negative,PanelOLS,6,0,0,0,6,1,0,0,-0.004976089620561755,0.0017467292924340033,0.004976089620561755,0.0029308530716937856,55571,60906,h4_leverage_robustness
H4b.r,UncAnsNoCEO,negative,PanelOLS,6,0,0,0,6,1,1,0,-0.0040376232051744275,0.0009713603821608919,0.0040376232051744275,0.0015213373060064116,55571,60906,h4_leverage_robustness
H4b.r,UncPreCEO,negative,PanelOLS,6,0,0,0,6,0,0,0,-0.0014168099704704724,0.005517412434283323,0.005517412434283323,0.003434637005493419,55571,60906,h4_leverage_robustness
H4b.r,UncPreNoCEO,negative,PanelOLS,6,1,0,0,6,0,0,0,-0.0032661956466715405,-0.00013820210832810186,0.0032661956466715405,0.0030442158359143072,55571,60906,h4_leverage_robustness
H5,UncAnsCEO,positive,PanelOLS,6,0,0,0,6,0,0,0,-0.00020880045601738312,-0.00012594030759019437,0.00020880045601738312,6.19280616102915e-05,18406,20069,h5b_wang_disp
H5,UncPreCEO,positive,PanelOLS,6,0,0,0,6,0,0,0,-7.16667429658827e-05,6.523824149468074e-05,7.16667429658827e-05,6.538483681888701e-05,18406,20069,h5b_wang_disp
H5,UncAnsMgr,positive,PanelOLS,6,3,3,3,6,3,3,1,7.47456973875031e-05,0.00024659848627483,0.00024659848627483,8.684916002240464e-05,18406,20069,h5b_wang_disp
H5,UncPreMgr,positive,PanelOLS,6,6,4,1,6,6,5,1,0.00010285705423682836,0.0002524180336592919,0.0002524180336592919,8.082301914816178e-05,18406,20069,h5b_wang_disp
H5.r,UncAnsCEO,positive,PanelOLS,6,0,0,0,6,0,0,0,-0.00015928062089240564,2.5933099907086005e-06,0.00015928062089240564,4.714709869374542e-05,17427,18992,h5b_wang_disp_robustness
H5.r,UncAnsNoCEO,positive,PanelOLS,6,3,3,1,6,3,3,3,1.4848109768397035e-05,0.00011061665284258214,0.00011061665284258214,3.272274376661746e-05,17427,18992,h5b_wang_disp_robustness
H5.r,UncPreCEO,positive,PanelOLS,6,4,2,1,6,2,1,0,-1.467594566165783e-05,0.00012519549119121767,0.00012519549119121767,5.388547283305854e-05,17427,18992,h5b_wang_disp_robustness
H5.r,UncPreNoCEO,positive,PanelOLS,6,4,1,0,6,1,0,0,1.6134245477765805e-05,8.52003850480637e-05,8.52003850480637e-05,4.348519032126212e-05,17427,18992,h5b_wang_disp_robustness
H7,UncAnsCEO,positive,PanelOLS,6,0,0,0,6,0,0,0,0.0003331640947216882,0.0005102617392734663,0.0005102617392734663,0.0005367482429503404,60182,63736,h7_illiquidity
H7,UncPreCEO,positive,PanelOLS,6,1,0,0,6,0,0,0,0.0001569468953551237,0.000764620923705641,0.000764620923705641,0.0004429424454673653,60182,63736,h7_illiquidity
H7,UncAnsMgr,positive,PanelOLS,6,0,0,0,6,0,0,0,-0.0013428941692087786,5.549697325516931e-05,0.0013428941692087786,0.0007000056347759661,60182,63736,h7_illiquidity
H7,UncPreMgr,positive,PanelOLS,6,0,0,0,6,0,0,0,-0.0008984080284915065,0.00020347935931533905,0.0008984080284915065,0.00049430516448358,60182,63736,h7_illiquidity
H7.r,UncAnsCEO,positive,PanelOLS,6,0,0,0,6,0,0,0,-0.0004128379770725466,0.0003428963459435132,0.0004128379770725466,0.0003287611985581945,56737,59870,h7_illiquidity_robustness
H7.r,UncAnsNoCEO,positive,PanelOLS,6,0,0,0,6,0,0,0,-0.000388172054870607,-8.931701170645869e-05,0.000388172054870607,0.0002275882985436959,56737,59870,h7_illiquidity_robustness
H7.r,UncPreCEO,positive,PanelOLS,6,4,2,0,6,0,0,0,-6.423121906115069e-05,0.0005190827503890949,0.0005190827503890949,0.00032556189906918155,56737,59870,h7_illiquidity_robustness
H7.r,UncPreNoCEO,positive,PanelOLS,6,0,0,0,6,0,0,0,-0.00045501685832869407,0.00030108655733143463,0.00045501685832869407,0.00025893748703315056,56737,59870,h7_illiquidity_robustness
H7b,UncAnsCEO,positive,PanelOLS,6,0,0,0,6,0,0,0,-0.0008024777860172839,0.0005467042126162076,0.0008024777860172839,0.0009595930276566964,60182,63736,h7b_amihud_level
H7b,UncPreCEO,positive,PanelOLS,6,0,0,0,6,0,0,0,-0.0009059941515218592,0.000267619264966449,0.0009059941515218592,0.0008807645479588088,60182,63736,h7b_amihud_level
H7b,UncAnsMgr,positive,PanelOLS,6,0,0,0,6,0,0,0,-0.0012701276877618082,0.0008697210210881579,0.0012701276877618082,0.0012596174479921945,60182,63736,h7b_amihud_level
